region,day,month,year,est_infections_mean
alabama,4,2,2020,0
alabama,5,2,2020,0
alabama,6,2,2020,0
alabama,7,2,2020,0
alabama,8,2,2020,0
alabama,9,2,2020,0
alabama,10,2,2020,0
alabama,11,2,2020,0
alabama,12,2,2020,0
alabama,13,2,2020,0
alabama,14,2,2020,0
alabama,15,2,2020,0
alabama,16,2,2020,0
alabama,17,2,2020,0
alabama,18,2,2020,0
alabama,19,2,2020,0
alabama,20,2,2020,0
alabama,21,2,2020,0
alabama,22,2,2020,0
alabama,23,2,2020,0
alabama,24,2,2020,0
alabama,25,2,2020,0
alabama,26,2,2020,0
alabama,27,2,2020,0
alabama,28,2,2020,0
alabama,29,2,2020,0
alabama,1,3,2020,3.153251
alabama,2,3,2020,7.221901
alabama,3,3,2020,14.30515
alabama,4,3,2020,25.07062
alabama,5,3,2020,42.23352
alabama,6,3,2020,64.09239
alabama,7,3,2020,94.81476
alabama,8,3,2020,135.8641
alabama,9,3,2020,187.891
alabama,10,3,2020,250.1805
alabama,11,3,2020,320.7905
alabama,12,3,2020,397.1461
alabama,13,3,2020,475.9888
alabama,14,3,2020,553.7876
alabama,15,3,2020,627.1963
alabama,16,3,2020,693.4618
alabama,17,3,2020,750.7234
alabama,18,3,2020,798.1329
alabama,19,3,2020,835.7956
alabama,20,3,2020,864.6281
alabama,21,3,2020,886.1053
alabama,22,3,2020,901.9879
alabama,23,3,2020,914.0876
alabama,24,3,2020,924.1256
alabama,25,3,2020,933.5954
alabama,26,3,2020,943.6935
alabama,27,3,2020,955.2952
alabama,28,3,2020,968.9915
alabama,29,3,2020,985.1573
alabama,30,3,2020,1004.011
alabama,31,3,2020,1025.614
alabama,1,4,2020,1049.918
alabama,2,4,2020,1076.79
alabama,3,4,2020,1106.03
alabama,4,4,2020,1137.377
alabama,5,4,2020,1170.514
alabama,6,4,2020,1205.078
alabama,7,4,2020,1240.66
alabama,8,4,2020,1276.809
alabama,9,4,2020,1313.039
alabama,10,4,2020,1348.829
alabama,11,4,2020,1383.633
alabama,12,4,2020,1416.883
alabama,13,4,2020,1448.007
alabama,14,4,2020,1476.451
alabama,15,4,2020,1501.698
alabama,16,4,2020,1523.29
alabama,17,4,2020,1540.863
alabama,18,4,2020,1554.146
alabama,19,4,2020,1562.965
alabama,20,4,2020,1567.236
alabama,21,4,2020,1566.971
alabama,22,4,2020,1562.268
alabama,23,4,2020,1553.307
alabama,24,4,2020,1540.346
alabama,25,4,2020,1523.72
alabama,26,4,2020,1503.82
alabama,27,4,2020,1481.077
alabama,28,4,2020,1455.947
alabama,29,4,2020,1428.898
alabama,30,4,2020,1400.403
alabama,1,5,2020,1370.926
alabama,2,5,2020,1340.922
alabama,3,5,2020,1310.832
alabama,4,5,2020,1281.068
alabama,5,5,2020,1252.01
alabama,6,5,2020,1224.006
alabama,7,5,2020,1197.362
alabama,8,5,2020,1172.337
alabama,9,5,2020,1149.141
alabama,10,5,2020,1127.948
alabama,11,5,2020,1108.905
alabama,12,5,2020,1092.146
alabama,13,5,2020,1077.803
alabama,14,5,2020,1066.014
alabama,15,5,2020,1056.922
alabama,16,5,2020,1050.358
alabama,17,5,2020,1045.938
alabama,18,5,2020,1043.272
alabama,19,5,2020,1041.727
alabama,20,5,2020,1040.448
alabama,21,5,2020,1039.202
alabama,22,5,2020,1036.79
alabama,23,5,2020,1032.827
alabama,24,5,2020,1026.576
alabama,25,5,2020,1017.705
alabama,26,5,2020,1007.106
alabama,27,5,2020,996.3906
alabama,28,5,2020,986.6706
alabama,29,5,2020,976.7463
alabama,30,5,2020,966.0515
alabama,31,5,2020,954.92
alabama,1,6,2020,943.0806
alabama,2,6,2020,929.5288
alabama,3,6,2020,914.2778
alabama,4,6,2020,898.4996
alabama,5,6,2020,881.4483
alabama,6,6,2020,863.1324
alabama,7,6,2020,844.5104
alabama,8,6,2020,825.7351
alabama,9,6,2020,806.9587
alabama,10,6,2020,789.0783
alabama,11,6,2020,772.2624
alabama,12,6,2020,755.2169
