region,state,Number,Over60,TotalPop
alabama,AL,77.2,35,4887871
alaska,AK,112.8,32.1,737438
arizona,AZ,78.1,37.9,7171646
arkansas,AR,79.9,34.1,3013825
california,CA,96.2,33.2,39557045
colorado,CO,95.4,31.5,5695564
connecticut,CT,105.7,36.5,3572665
delaware,DE,96.8,29,967171
district of columbia,DC,239.7,34.6,702455
florida,FL,86.8,39.2,21299325
georgia,GA,79.1,32.7,10519475
hawaii,HI,118.5,34.2,1420491
idaho,ID,73.9,29,1754208
illinois,IL,99.6,30.8,12741080
indiana,IN,80.3,32.3,6691878
iowa,IA,84.8,30.3,3156145
kansas,KS,88,31.9,2911505
kentucky,KY,77.3,36.6,4468402
louisiana,LA,84.1,32.5,4659978
maine,ME,128.9,36,1338404
maryland,MD,116.2,33.1,6042718
massachusetts,MA,134.3,28.5,6902149
michigan,MI,97.8,35.3,9995915
minnesota,MN,104.9,31.6,5611179
mississippi,MS,65.9,42.4,2986530
missouri,MO,86.6,35.8,6126452
montana,MT,91.5,30.1,1062305
nebraska,NE,88.2,32.7,1929268
nevada,NV,72.3,33.2,3034392
new hampshire,NH,105.9,37.7,1356458
new jersey,NJ,97.7,33.5,8908520
new mexico,NM,91.1,41,2095428
new york,NY,112.9,35,19542209
north carolina,NC,86.2,31.3,10383620
north dakota,ND,87,30.1,760077
ohio,OH,93.7,34.5,11689442
oklahoma,OK,73.9,39.9,3943079
oregon,OR,109.4,31.2,4190713
pennsylvania,PA,100.8,36.4,12807060
puerto rico,PR,120.7,59.7,3195153
rhode island,RI,117.5,29.2,1057315
south carolina,SC,80.1,33.7,5084127
south dakota,SD,92.8,35.1,882235
tennessee,TN,85.1,37.5,6770010
texas,TX,72.9,32,28701845
utah,UT,65.3,25.8,3161105
vermont,VT,130.3,41.2,626299
virginia,VA,90.3,33.9,8517685
washington,WA,100.6,33.7,7535591
west virginia,WV,100.1,33.3,1805832
wisconsin,WI,94.6,31,5813568
wyoming,WY,79.8,25.4,577737
